pl_name,pl_rade,pl_bmasse,pl_disc,rowupdate,gravity
2MASS J12073346-3932539 b,,1271.00000,2004,2014-05-14,NaN
OGLE-TR-10 b,14.011,197.04600,2004,2014-05-14,1.00
HD 99492 b,,27.65000,2004,2014-05-14,NaN
GQ Lup b,33.600,6356.00000,2004,2014-05-14,5.63
OGLE-TR-111 b,11.781,174.79900,2004,2014-05-14,1.26
HD 117618 b,,56.60000,2004,2014-05-14,NaN
DH Tau b,,3496.00000,2004,2014-05-14,NaN
HD 117207 b,,597.00000,2004,2014-05-14,NaN
OGLE-TR-113 b,12.251,400.44900,2004,2014-05-14,2.67
HD 183263 b,,1166.39000,2004,2014-07-23,NaN
HD 188015 b,,476.72000,2004,2014-07-23,NaN
HD 160691 c,,576.51900,2004,2014-08-21,NaN
HD 160691 d,,10.55470,2004,2014-08-21,NaN
HD 45350 b,,568.89000,2004,2014-09-18,NaN
TrES-1 b,11.960,238.99800,2004,2014-10-15,1.67
55 Cnc c,,54.47380,2004,2014-10-29,NaN
OGLE 2003-BLG-235L b,,476.70000,2004,2014-10-29,NaN
OGLE-TR-132 b,13.450,375.02000,2004,2014-10-29,2.07
HD 208487 b,,165.26500,2004,2014-11-05,NaN
HD 330075 b,,197.05000,2004,2014-11-19,NaN
HD 41004 A b,,807.25000,2004,2014-12-03,NaN
HD 37605 b,,890.52200,2004,2015-02-05,NaN
GJ 436 b,4.170,22.10000,2004,2015-02-05,1.27
HD 88133 b,,95.03117,2004,2015-04-16,NaN
HD 202206 c,,776.00000,2004,2015-08-27,NaN
55 Cnc e,1.920,8.08000,2004,2016-01-21,2.19
HD 101930 b,,95.34000,2005,2014-05-14,NaN
HD 107148 b,,66.74100,2005,2014-05-14,NaN
HD 217107 c,,826.32000,2005,2014-05-14,NaN
HD 109749 b,,88.98900,2005,2014-05-14,NaN
HD 108874 c,,314.64000,2005,2014-05-14,NaN
HD 73526 c,,715.09000,2005,2014-05-14,NaN
HD 142022 A b,,1600.00000,2005,2014-05-14,NaN
AB Pic b,,4290.50000,2005,2014-05-14,NaN
HD 212301 b,,143.01700,2005,2014-05-14,NaN
HD 93083 b,,117.59000,2005,2014-05-14,NaN
HD 11964 b,,198.00000,2005,2014-05-14,NaN
HD 149143 b,,422.70000,2005,2014-05-14,NaN
HD 11977 b,,2080.00000,2005,2014-05-14,NaN
