kepler_name,koi_disposition,koi_vet_stat,koi_datalink_dvs,koi_vet_date
Kepler-52 b,CONFIRMED,Active,011/011754/011754553/dv/kplr011754553-001-20141002224145_dvs.pdf,2015-09-18
Kepler-52 d,CONFIRMED,Active,011/011754/011754553/dv/kplr011754553-003-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011812/011812062/dv/kplr011812062-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011818/011818800/dv/kplr011818800-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011853/011853255/dv/kplr011853255-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,011/011909/011909839/dv/kplr011909839-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011918/011918099/dv/kplr011918099-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011918/011918099/dv/kplr011918099-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,,2014-12-04
,CANDIDATE,Active,011/011923/011923270/dv/kplr011923270-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011960/011960862/dv/kplr011960862-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,012/012020/012020329/dv/kplr012020329-001-20141002224145_dvs.pdf,2015-09-18
Kepler-231 c,CONFIRMED,Active,012/012066/012066335/dv/kplr012066335-001-20141002224145_dvs.pdf,2015-09-18
Kepler-231 b,CONFIRMED,Active,012/012066/012066335/dv/kplr012066335-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,012/012070/012070811/dv/kplr012070811-001-20141002224145_dvs.pdf,2015-09-18
Kepler-106 e,CONFIRMED,Active,008/008395/008395660/dv/kplr008395660-002-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,003/003120/003120431/dv/kplr003120431-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003246/003246984/dv/kplr003246984-001-20141002224145_dvs.pdf,2015-09-18
Kepler-234 b,CONFIRMED,Active,003/003342/003342970/dv/kplr003342970-001-20141002224145_dvs.pdf,2015-09-18
Kepler-234 c,CONFIRMED,Active,003/003342/003342970/dv/kplr003342970-002-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,,2014-12-04
Kepler-233 b,CONFIRMED,Active,012/012470/012470844/dv/kplr012470844-001-20141002224145_dvs.pdf,2015-09-18
Kepler-233 c,CONFIRMED,Active,012/012470/012470844/dv/kplr012470844-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,012/012644/012644822/dv/kplr012644822-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,002/002440/002440757/dv/kplr002440757-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,002/002445/002445129/dv/kplr002445129-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,002/002713/002713049/dv/kplr002713049-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003114/003114167/dv/kplr003114167-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,003/003114/003114661/dv/kplr003114661-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003115/003115833/dv/kplr003115833-001-20141002224145_dvs.pdf,2015-09-18
Kepler-235 d,CONFIRMED,Active,004/004139/004139816/dv/kplr004139816-002-20141002224145_dvs.pdf,2015-09-18
Kepler-235 e,CONFIRMED,Active,004/004139/004139816/dv/kplr004139816-003-20141002224145_dvs.pdf,2015-09-18
