kepler_name,koi_disposition,koi_vet_stat,koi_datalink_dvs,koi_vet_date
Kepler-145 c,CONFIRMED,Active,008/008494/008494142/dv/kplr008494142-001-20141002224145_dvs.pdf,2015-09-18
Kepler-63 b,CONFIRMED,Active,011/011554/011554435/dv/kplr011554435-001-20141002224145_dvs.pdf,2015-09-18
Kepler-145 b,CONFIRMED,Active,008/008494/008494142/dv/kplr008494142-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005652/005652983/dv/kplr005652983-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006471/006471021/dv/kplr006471021-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,007/007906/007906671/dv/kplr007906671-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008709/008709688/dv/kplr008709688-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008241/008241079/dv/kplr008241079-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,003/003348/003348285/dv/kplr003348285-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011618/011618601/dv/kplr011618601-001-20141002224145_dvs.pdf,2015-09-18
Kepler-431 d,CONFIRMED,Active,007/007582/007582689/dv/kplr007582689-001-20141002224145_dvs.pdf,2015-09-18
Kepler-431 b,CONFIRMED,Active,007/007582/007582689/dv/kplr007582689-002-20141002224145_dvs.pdf,2015-09-18
Kepler-431 c,CONFIRMED,Active,007/007582/007582689/dv/kplr007582689-003-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,009/009959/009959589/dv/kplr009959589-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,009/009025/009025922/dv/kplr009025922-001-20141002224145_dvs.pdf,2015-09-18
Kepler-92 c,CONFIRMED,Active,006/006196/006196457/dv/kplr006196457-002-20141002224145_dvs.pdf,2015-09-18
Kepler-136 c,CONFIRMED,Active,007/007050/007050989/dv/kplr007050989-002-20141002224145_dvs.pdf,2015-09-18
Kepler-137 c,CONFIRMED,Active,007/007419/007419318/dv/kplr007419318-001-20141002224145_dvs.pdf,2015-09-18
Kepler-137 b,CONFIRMED,Active,007/007419/007419318/dv/kplr007419318-002-20141002224145_dvs.pdf,2015-09-18
Kepler-138 c,CONFIRMED,Active,007/007603/007603200/dv/kplr007603200-001-20141002224145_dvs.pdf,2015-09-18
Kepler-138 d,CONFIRMED,Active,007/007603/007603200/dv/kplr007603200-002-20141002224145_dvs.pdf,2015-09-18
Kepler-101 c,CONFIRMED,Active,010/010905/010905239/dv/kplr010905239-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007364/007364176/dv/kplr007364176-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008686/008686097/dv/kplr008686097-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,,2014-12-04
,FALSE POSITIVE,Active,012/012643/012643589/dv/kplr012643589-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,012/012643/012643589/dv/kplr012643589-002-20141002224145_dvs.pdf,2015-09-18
Kepler-9 b,CONFIRMED,Active,003/003323/003323887/dv/kplr003323887-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011618/011618601/dv/kplr011618601-002-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,007/007732/007732285/dv/kplr007732285-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,009/009716/009716391/dv/kplr009716391-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006929/006929841/dv/kplr006929841-001-20141002224145_dvs.pdf,2015-09-18
Kepler-130 d,CONFIRMED,Active,005/005088/005088536/dv/kplr005088536-003-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,005/005124/005124254/dv/kplr005124254-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011508/011508644/dv/kplr011508644-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,012/012168/012168993/dv/kplr012168993-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008895/008895758/dv/kplr008895758-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,010/010031/010031500/dv/kplr010031500-001-20141002224145_dvs.pdf,2015-09-18
Kepler-138 b,CONFIRMED,Active,007/007603/007603200/dv/kplr007603200-003-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007700/007700622/dv/kplr007700622-001-20141002224145_dvs.pdf,2015-09-18
Kepler-139 b,CONFIRMED,Active,008/008008/008008067/dv/kplr008008067-001-20141002224145_dvs.pdf,2015-09-18
Kepler-139 c,CONFIRMED,Active,008/008008/008008067/dv/kplr008008067-003-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008008/008008067/dv/kplr008008067-002-20141002224145_dvs.pdf,2015-09-18
Kepler-9 c,CONFIRMED,Active,,2014-12-04
,CANDIDATE,Active,007/007051/007051180/dv/kplr007051180-001-20141002224145_dvs.pdf,2015-09-18
Kepler-9 d,CONFIRMED,Active,,2014-12-04
,FALSE POSITIVE,Active,002/002449/002449074/dv/kplr002449074-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,002/002446/002446113/dv/kplr002446113-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,002/002446/002446113/dv/kplr002446113-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011137/011137180/dv/kplr011137180-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,009/009838/009838804/dv/kplr009838804-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005903/005903749/dv/kplr005903749-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005903/005903749/dv/kplr005903749-002-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,005/005524/005524881/dv/kplr005524881-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003756/003756264/dv/kplr003756264-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011572/011572193/dv/kplr011572193-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011285/011285870/dv/kplr011285870-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008581/008581240/dv/kplr008581240-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008581/008581240/dv/kplr008581240-002-20141002224145_dvs.pdf,2015-09-18
Kepler-92 d,CONFIRMED,Active,006/006196/006196457/dv/kplr006196457-003-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008121/008121310/dv/kplr008121310-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008156/008156120/dv/kplr008156120-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008684/008684730/dv/kplr008684730-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,008/008700/008700558/dv/kplr008700558-002-20141002224145_dvs.pdf,2015-09-18
Kepler-406 b,CONFIRMED,Active,008/008753/008753657/dv/kplr008753657-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008554/008554498/dv/kplr008554498-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,003/003847/003847708/dv/kplr003847708-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,003/003849/003849155/dv/kplr003849155-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,003/003858/003858804/dv/kplr003858804-002-20141002224145_dvs.pdf,2015-09-18
Kepler-147 c,CONFIRMED,Active,003/003942/003942670/dv/kplr003942670-001-20141002224145_dvs.pdf,2015-09-18
Kepler-147 b,CONFIRMED,Active,003/003942/003942670/dv/kplr003942670-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006949/006949898/dv/kplr006949898-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010585/010585738/dv/kplr010585738-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,007/007186/007186665/dv/kplr007186665-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,002/002973/002973386/dv/kplr002973386-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006388/006388770/dv/kplr006388770-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007022/007022573/dv/kplr007022573-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007676/007676423/dv/kplr007676423-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,009/009288/009288237/dv/kplr009288237-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011714/011714231/dv/kplr011714231-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011720/011720424/dv/kplr011720424-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007837/007837302/dv/kplr007837302-001-20141002224145_dvs.pdf,2015-09-18
Kepler-406 c,CONFIRMED,Active,008/008753/008753657/dv/kplr008753657-002-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,008/008948/008948424/dv/kplr008948424-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,009/009139/009139084/dv/kplr009139084-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,009/009641/009641041/dv/kplr009641041-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,009/009724/009724984/dv/kplr009724984-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,002/002452/002452450/dv/kplr002452450-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,003/003230/003230578/dv/kplr003230578-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,003/003231/003231137/dv/kplr003231137-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003353/003353050/dv/kplr003353050-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003446/003446746/dv/kplr003446746-001-20141002224145_dvs.pdf,2015-09-18
Kepler-131 b,CONFIRMED,Active,005/005695/005695396/dv/kplr005695396-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,005/005217/005217891/dv/kplr005217891-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006593/006593150/dv/kplr006593150-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008051/008051946/dv/kplr008051946-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005445/005445681/dv/kplr005445681-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006523/006523351/dv/kplr006523351-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005551/005551672/dv/kplr005551672-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011499/011499192/dv/kplr011499192-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,012/012416/012416661/dv/kplr012416661-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008197/008197793/dv/kplr008197793-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,008/008258/008258171/dv/kplr008258171-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,009/009880/009880467/dv/kplr009880467-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,009/009880/009880467/dv/kplr009880467-002-20141002224145_dvs.pdf,2015-09-18
Kepler-140 b,CONFIRMED,Active,009/009881/009881662/dv/kplr009881662-001-20141002224145_dvs.pdf,2015-09-18
Kepler-140 c,CONFIRMED,Active,009/009881/009881662/dv/kplr009881662-002-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,009/009895/009895004/dv/kplr009895004-001-20141002224145_dvs.pdf,2015-09-18
Kepler-146 b,CONFIRMED,Active,003/003656/003656121/dv/kplr003656121-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,,2014-12-04
Kepler-146 c,CONFIRMED,Active,003/003656/003656121/dv/kplr003656121-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003733/003733628/dv/kplr003733628-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003831/003831053/dv/kplr003831053-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006357/006357290/dv/kplr006357290-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004072/004072955/dv/kplr004072955-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008695/008695311/dv/kplr008695311-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,009/009834/009834731/dv/kplr009834731-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005092/005092266/dv/kplr005092266-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,004/004076/004076976/dv/kplr004076976-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008751/008751796/dv/kplr008751796-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,007/007097/007097534/dv/kplr007097534-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,009/009907/009907129/dv/kplr009907129-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007609/007609674/dv/kplr007609674-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,009/009527/009527334/dv/kplr009527334-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,010/010031/010031885/dv/kplr010031885-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011361/011361646/dv/kplr011361646-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011361/011361646/dv/kplr011361646-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010285/010285631/dv/kplr010285631-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003964/003964109/dv/kplr003964109-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,004/004159/004159347/dv/kplr004159347-001-20141002224145_dvs.pdf,2015-09-18
Kepler-93 b,CONFIRMED,Active,003/003544/003544595/dv/kplr003544595-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,004/004165/004165960/dv/kplr004165960-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004252/004252322/dv/kplr004252322-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004376/004376644/dv/kplr004376644-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,009/009301/009301506/dv/kplr009301506-001-20141002224145_dvs.pdf,2015-09-18
Kepler-131 c,CONFIRMED,Active,005/005695/005695396/dv/kplr005695396-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,009/009714/009714550/dv/kplr009714550-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006263/006263593/dv/kplr006263593-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005475/005475042/dv/kplr005475042-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,006/006964/006964159/dv/kplr006964159-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010252/010252275/dv/kplr010252275-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010252/010252275/dv/kplr010252275-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011455/011455181/dv/kplr011455181-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,009/009541/009541295/dv/kplr009541295-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010290/010290666/dv/kplr010290666-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010337/010337258/dv/kplr010337258-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,010/010383/010383687/dv/kplr010383687-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,010/010470/010470206/dv/kplr010470206-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,010/010518/010518725/dv/kplr010518725-002-20141002224145_dvs.pdf,2015-09-18
Kepler-450 c,CONFIRMED,Active,012/012314/012314973/dv/kplr012314973-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005450/005450893/dv/kplr005450893-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004770/004770174/dv/kplr004770174-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008949/008949925/dv/kplr008949925-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,005/005091/005091016/dv/kplr005091016-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,009/009959/009959492/dv/kplr009959492-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008827/008827575/dv/kplr008827575-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008827/008827575/dv/kplr008827575-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,002/002716/002716801/dv/kplr002716801-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,007/007281/007281454/dv/kplr007281454-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007216/007216284/dv/kplr007216284-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,008/008703/008703887/dv/kplr008703887-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,009/009899/009899352/dv/kplr009899352-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006945/006945786/dv/kplr006945786-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005978/005978170/dv/kplr005978170-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005440/005440317/dv/kplr005440317-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010545/010545066/dv/kplr010545066-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006056/006056992/dv/kplr006056992-001-20141002224145_dvs.pdf,2015-09-18
Kepler-141 c,CONFIRMED,Active,010/010552/010552611/dv/kplr010552611-001-20141002224145_dvs.pdf,2015-09-18
Kepler-141 b,CONFIRMED,Active,010/010552/010552611/dv/kplr010552611-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010587/010587105/dv/kplr010587105-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010587/010587105/dv/kplr010587105-002-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,006/006948/006948480/dv/kplr006948480-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006438/006438099/dv/kplr006438099-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011090/011090556/dv/kplr011090556-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011090/011090556/dv/kplr011090556-002-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,010/010686/010686814/dv/kplr010686814-001-20141002224145_dvs.pdf,2015-09-18
Kepler-405 c,CONFIRMED,Active,003/003234/003234843/dv/kplr003234843-002-20141002224145_dvs.pdf,2015-09-18
Kepler-132 d,CONFIRMED,Active,006/006021/006021275/dv/kplr006021275-002-20141002224145_dvs.pdf,2015-09-18
Kepler-405 b,CONFIRMED,Active,003/003234/003234843/dv/kplr003234843-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,008/008192/008192911/dv/kplr008192911-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,010/010554/010554967/dv/kplr010554967-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003752/003752110/dv/kplr003752110-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005688/005688790/dv/kplr005688790-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,001/001717/001717722/dv/kplr001717722-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,001/001717/001717722/dv/kplr001717722-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010908/010908248/dv/kplr010908248-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,010/010616/010616571/dv/kplr010616571-001-20141002224145_dvs.pdf,2015-09-18
Kepler-414 c,CONFIRMED,Active,010/010878/010878263/dv/kplr010878263-001-20141002224145_dvs.pdf,2015-09-18
Kepler-414 b,CONFIRMED,Active,010/010878/010878263/dv/kplr010878263-002-20141002224145_dvs.pdf,2015-09-18
Kepler-142 c,CONFIRMED,Active,010/010982/010982872/dv/kplr010982872-001-20141002224145_dvs.pdf,2015-09-18
Kepler-142 b,CONFIRMED,Active,010/010982/010982872/dv/kplr010982872-002-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,002/002720/002720514/dv/kplr002720514-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004141/004141376/dv/kplr004141376-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,009/009468/009468551/dv/kplr009468551-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,009/009076/009076971/dv/kplr009076971-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008360/008360640/dv/kplr008360640-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011019/011019987/dv/kplr011019987-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004857/004857058/dv/kplr004857058-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010924/010924562/dv/kplr010924562-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,009/009899/009899505/dv/kplr009899505-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005040/005040077/dv/kplr005040077-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007534/007534267/dv/kplr007534267-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,009/009592/009592705/dv/kplr009592705-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,010/010611/010611420/dv/kplr010611420-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010386/010386922/dv/kplr010386922-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,010/010386/010386922/dv/kplr010386922-001-20141002224145_dvs.pdf,2015-09-18
Kepler-142 d,CONFIRMED,Active,010/010982/010982872/dv/kplr010982872-003-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,003/003558/003558981/dv/kplr003558981-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011015/011015108/dv/kplr011015108-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011074/011074541/dv/kplr011074541-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011100/011100383/dv/kplr011100383-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,007/007918/007918652/dv/kplr007918652-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,008/008847/008847111/dv/kplr008847111-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,004/004568/004568298/dv/kplr004568298-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,004/004374/004374339/dv/kplr004374339-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,006/006636/006636320/dv/kplr006636320-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004067/004067925/dv/kplr004067925-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,004/004847/004847782/dv/kplr004847782-002-20141002224145_dvs.pdf,2015-09-18
Kepler-132 c,CONFIRMED,Active,006/006021/006021275/dv/kplr006021275-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003230/003230805/dv/kplr003230805-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004676/004676964/dv/kplr004676964-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,010/010488/010488450/dv/kplr010488450-001-20141002224145_dvs.pdf,2015-09-18
Kepler-133 c,CONFIRMED,Active,010/010933/010933561/dv/kplr010933561-001-20141002224145_dvs.pdf,2015-09-18
Kepler-133 b,CONFIRMED,Active,010/010933/010933561/dv/kplr010933561-002-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,008/008845/008845026/dv/kplr008845026-001-20141002224145_dvs.pdf,2015-09-18
Kepler-97 b,CONFIRMED,Active,011/011075/011075737/dv/kplr011075737-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,011/011189/011189127/dv/kplr011189127-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011194/011194032/dv/kplr011194032-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011394/011394027/dv/kplr011394027-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011395/011395587/dv/kplr011395587-001-20141002224145_dvs.pdf,2015-09-18
Kepler-90 h,CONFIRMED,Active,011/011442/011442793/dv/kplr011442793-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005520/005520547/dv/kplr005520547-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,004/004848/004848424/dv/kplr004848424-001-20141002224145_dvs.pdf,2015-09-18
Kepler-410 A b,CONFIRMED,Active,008/008866/008866102/dv/kplr008866102-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,004/004143/004143755/dv/kplr004143755-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008509/008509442/dv/kplr008509442-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011244/011244137/dv/kplr011244137-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,006/006072/006072593/dv/kplr006072593-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,005/005865/005865654/dv/kplr005865654-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,003/003219/003219643/dv/kplr003219643-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,008/008546/008546542/dv/kplr008546542-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,008/008197/008197560/dv/kplr008197560-001-20141002224145_dvs.pdf,2015-09-18
,FALSE POSITIVE,Active,011/011200/011200415/dv/kplr011200415-001-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011259/011259686/dv/kplr011259686-001-20141002224145_dvs.pdf,2015-09-18
Kepler-134 b,CONFIRMED,Active,011/011547/011547513/dv/kplr011547513-001-20141002224145_dvs.pdf,2015-09-18
Kepler-134 c,CONFIRMED,Active,011/011547/011547513/dv/kplr011547513-002-20141002224145_dvs.pdf,2015-09-18
,CANDIDATE,Active,011/011802/011802615/dv/kplr011802615-001-20141002224145_dvs.pdf,2015-09-18
Kepler-90 g,CONFIRMED,Active,,2014-12-04
Kepler-90 d,CONFIRMED,Active,011/011442/011442793/dv/kplr011442793-002-20130826182306_dvs.pdf,2014-12-04
,FALSE POSITIVE,Active,002/002445/002445975/dv/kplr002445975-001-20141002224145_dvs.pdf,2015-09-18
